datetime,Above Treeline,Treeline,Below Treeline,summary_raw,danger_above,danger_treeline,danger_below,summary_no_stop
2023-11-01,low,low,low,"The only place where you can trigger an avalanche is on high-elevation wind-drifted slopes. These places will be easy to identify by textured, wind-hardened surfaces. Although the chance of triggering an avalanche is really small, remember that a short ride in a small avalanche in early-season conditions can be dangerous.",1.0,1,1,"place trigger avalanche high-elevation wind-drifted slopes . places easy identify textured , wind-hardened surfaces . although chance triggering avalanche really small , remember short ride small avalanche early-season conditions dangerous ."
2023-11-02,moderate,moderate,low,"Avalanche conditions are most dangerous on wind-drifted north and northeast-facing slopes at higher elevations. These areas have a weak, collapsible layer of snow near the ground underneath thicker, more cohesive slabs. Visible cracking and/or audible collapsing indicate areas where you can trigger an avalanche. Slopes less than around 30 degrees in steepness, wind-sheltered slopes, or sunnier aspects that did not hold early-October snow all offer safer riding options. Watch for shallowly-buried obstacles with thin early-season coverage.",2.0,2,1,"avalanche conditions dangerous wind-drifted north northeast-facing slopes higher elevations . areas weak , collapsible layer snow near ground underneath thicker , cohesive slabs . visible cracking and/or audible collapsing indicate areas trigger avalanche . slopes less around 30 degrees steepness , wind-sheltered slopes , sunnier aspects hold early-october snow offer safer riding options . watch shallowly-buried obstacles thin early-season coverage ."
2023-11-02,low,low,low,"The areas where you may be most tempted to travel are where you are most likely to trigger an avalanche. You should avoid steep slopes where the wind has drifted snow, and you find continuous coverage that feels supportive yet hollow and may crack beneath you. You are most likely to see these conditions in gullies and below ridgelines in alcoves shaded from the sun and wind. Avalanches will be small, but a ride through rocks may result in an early end to your season.",1.0,1,1,"areas may tempted travel likely trigger avalanche . avoid steep slopes wind drifted snow , find continuous coverage feels supportive yet hollow may crack beneath . likely see conditions gullies ridgelines alcoves shaded sun wind . avalanches small , ride rocks may result early end season ."
2023-11-02,low,low,low,"Most slopes are free from avalanches simply due to the lack of snow cover. High-elevation wind-drifted slopes are the only places you may be able to trigger an avalanche. Avoid gully features or places where you observe smooth drifted pockets of snow or a wind-hardened surface. Although the chance of triggering an avalanche is small, even a small avalanche in early-season conditions can lead to an unforgiving ride.",1.0,1,1,"slopes free avalanches simply due lack snow cover . high-elevation wind-drifted slopes places may able trigger avalanche . avoid gully features places observe smooth drifted pockets snow wind-hardened surface . although chance triggering avalanche small , even small avalanche early-season conditions lead unforgiving ride ."
2023-11-02,low,low,low,"The areas where you may be most tempted to travel are where you are most likely to trigger an avalanche. You should avoid steep slopes where the wind has drifted snow, and you find continuous coverage that feels supportive yet hollow and may crack beneath you. You are most likely to see these conditions in gullies and below ridgelines in alcoves shaded from the sun and wind. Avalanches will be small, but a ride through rocks may result in an early end to your season.",1.0,1,1,"areas may tempted travel likely trigger avalanche . avoid steep slopes wind drifted snow , find continuous coverage feels supportive yet hollow may crack beneath . likely see conditions gullies ridgelines alcoves shaded sun wind . avalanches small , ride rocks may result early end season ."
2023-11-02,moderate,moderate,low,"Avalanche conditions are most dangerous on wind-drifted north and northeast-facing slopes at higher elevations. These areas have a weak, collapsible layer of snow near the ground underneath thicker, more cohesive slabs. Visible cracking and/or audible collapsing indicate areas where you can trigger an avalanche. Slopes less than around 30 degrees in steepness, wind-sheltered slopes, or sunnier aspects that did not hold early-October snow all offer safer riding options. Watch for shallowly-buried obstacles with thin early-season coverage.",2.0,2,1,"avalanche conditions dangerous wind-drifted north northeast-facing slopes higher elevations . areas weak , collapsible layer snow near ground underneath thicker , cohesive slabs . visible cracking and/or audible collapsing indicate areas trigger avalanche . slopes less around 30 degrees steepness , wind-sheltered slopes , sunnier aspects hold early-october snow offer safer riding options . watch shallowly-buried obstacles thin early-season coverage ."
2023-11-02,low,low,low,"The areas where you may be most tempted to travel are where you are most likely to trigger an avalanche. You should avoid steep slopes where the wind has drifted snow, and you find continuous coverage that feels supportive yet hollow and may crack beneath you. You are most likely to see these conditions in gullies and below ridgelines in alcoves shaded from the sun and wind. Avalanches will be small, but a ride through rocks may result in an early end to your season.",1.0,1,1,"areas may tempted travel likely trigger avalanche . avoid steep slopes wind drifted snow , find continuous coverage feels supportive yet hollow may crack beneath . likely see conditions gullies ridgelines alcoves shaded sun wind . avalanches small , ride rocks may result early end season ."
2023-11-03,moderate,low,low,"The most dangerous terrain sits above around 11,000 feet. Avoid steep north-to-northeast-facing slopes that hold more than about two feet of denser, recently wind-drifted snow. Visible cracking or audible collapsing underfoot indicates the snow in that area can avalanche on slopes steeper than around 30 degrees.You can expect safer avalanche conditions on other slopes but you may encounter early-season obstacles like logs and rocks.",2.0,1,1,"dangerous terrain sits around 11,000 feet . avoid steep north-to-northeast-facing slopes hold two feet denser , recently wind-drifted snow . visible cracking audible collapsing underfoot indicates snow area avalanche slopes steeper around 30 degrees.you expect safer avalanche conditions slopes may encounter early-season obstacles like logs rocks ."
2023-11-04,moderate,low,low,"The most dangerous terrain sits above treeline. Avoid steep north-to-northeast-facing slopes that hold more than about two feet of denser, recently wind-drifted snow. Visible cracking or audible collapsing underfoot indicates the snow in that area can avalanche on slopes steeper than around 30 degrees.You can expect safer avalanche conditions on other slopes but you may encounter shallowly-burried obstacles like logs and rocks.",2.0,1,1,"dangerous terrain sits treeline . avoid steep north-to-northeast-facing slopes hold two feet denser , recently wind-drifted snow . visible cracking audible collapsing underfoot indicates snow area avalanche slopes steeper around 30 degrees.you expect safer avalanche conditions slopes may encounter shallowly-burried obstacles like logs rocks ."
2023-11-04,low,low,low,"You will find mostly safe avalanche conditions. The areas where you could trigger a small avalanche are steep gullies or below ridgelines, where you find continuous areas of firm, wind-drifted snow. It may feel strong, but there is weak snow underneath. An avalanche in these areas may be small, but it could take you on a nasty ride into exposed rocks.",1.0,1,1,"find mostly safe avalanche conditions . areas could trigger small avalanche steep gullies ridgelines , find continuous areas firm , wind-drifted snow . may feel strong , weak snow underneath . avalanche areas may small , could take nasty ride exposed rocks ."
2023-11-05,low,low,low,"The most dangerous terrain sits above treeline. Avoid steep north-to-northeast-facing slopes that hold more than about two feet of denser, recently wind-drifted snow. Visible cracking or audible collapsing underfoot indicates the snow in that area can avalanche on slopes steeper than around 30 degrees.Avalanche conditions are generally safer on other slopes but you may encounter shallowly-buried obstacles like logs and rocks.",1.0,1,1,"dangerous terrain sits treeline . avoid steep north-to-northeast-facing slopes hold two feet denser , recently wind-drifted snow . visible cracking audible collapsing underfoot indicates snow area avalanche slopes steeper around 30 degrees.avalanche conditions generally safer slopes may encounter shallowly-buried obstacles like logs rocks ."
2023-11-05,low,low,low,"High-elevation, northerly-facing slopes could harbor a hard-over-weak snow combination, and where you could trigger an avalanche. Many areas still don’t have enough snow to produce an avalanche, but if you encounter steeper slopes with continuous snow cover, travel with caution. Most avalanches you trigger will be small, but small avalanches early season can take your for a nasty ride. You can avoid avalanches all together by sticking to sunny slopes with no snow cover.",1.0,1,1,"high-elevation , northerly-facing slopes could harbor hard-over-weak snow combination , could trigger avalanche . many areas still ’ enough snow produce avalanche , encounter steeper slopes continuous snow cover , travel caution . avalanches trigger small , small avalanches early season take nasty ride . avoid avalanches together sticking sunny slopes snow cover ."
2023-11-05,low,low,low,"You will find mostly safe avalanche conditions. The areas where you could trigger a small avalanche are steep gullies or below ridgelines, where you find continuous areas of firm, wind-drifted snow. It may feel strong, but there is weak snow underneath. An avalanche in these areas may be small, but it could take you on a nasty ride into exposed rocks.",1.0,1,1,"find mostly safe avalanche conditions . areas could trigger small avalanche steep gullies ridgelines , find continuous areas firm , wind-drifted snow . may feel strong , weak snow underneath . avalanche areas may small , could take nasty ride exposed rocks ."
2023-11-05,low,low,low,"The most dangerous terrain sits above treeline. Avoid steep north-to-northeast-facing slopes that hold more than about two feet of denser, recently wind-drifted snow. Visible cracking or audible collapsing underfoot indicates the snow in that area can avalanche on slopes steeper than around 30 degrees.Avalanche conditions are generally safer on other slopes but you may encounter shallowly-buried obstacles like logs and rocks.",1.0,1,1,"dangerous terrain sits treeline . avoid steep north-to-northeast-facing slopes hold two feet denser , recently wind-drifted snow . visible cracking audible collapsing underfoot indicates snow area avalanche slopes steeper around 30 degrees.avalanche conditions generally safer slopes may encounter shallowly-buried obstacles like logs rocks ."
2023-11-06,low,low,low,"The conditions are generally safe but that  does not mean no danger. Above treeline slopes facing north-to-northeast that hold more than about two feet of recently wind-drifted snow are the most likely places you could trigger an avalanche. Traveling on slopes less than about 30 degrees, or on wind-sheltered terrain will help you stay safer but you may encounter shallowly-buried obstacles like logs and rocks.",1.0,1,1,"conditions generally safe mean danger . treeline slopes facing north-to-northeast hold two feet recently wind-drifted snow likely places could trigger avalanche . traveling slopes less 30 degrees , wind-sheltered terrain help stay safer may encounter shallowly-buried obstacles like logs rocks ."
2023-11-06,low,low,low,"In general, avalanche conditions are relatively safe. However, you may trigger a small avalanche in wind-loaded terrain features such as the lee side of a ridgeline, the sides of a gully, or a couloir above treeline. Even though an avalanche in these areas may be small, it can still be hazardous and take you on a dangerous ride into exposed rocks.",1.0,1,1,"general , avalanche conditions relatively safe . however , may trigger small avalanche wind-loaded terrain features lee side ridgeline , sides gully , couloir treeline . even though avalanche areas may small , still hazardous take dangerous ride exposed rocks ."
2023-11-06,low,low,low,"In general, avalanche conditions are relatively safe. However, you may trigger a small avalanche in wind-loaded terrain features such as the lee side of a ridgeline, the sides of a gully, or a couloir above treeline. Even though an avalanche in these areas may be small, it can still be hazardous and take you on a dangerous ride into exposed rocks.",1.0,1,1,"general , avalanche conditions relatively safe . however , may trigger small avalanche wind-loaded terrain features lee side ridgeline , sides gully , couloir treeline . even though avalanche areas may small , still hazardous take dangerous ride exposed rocks ."
